

i      x0        x1        u0             u1             
535     0.463     0.303     2.198e-04     -5.626e-05     
536     0.315     0.747     1.404e-04     -1.473e-04     
537     0.822     0.397     3.703e-04     -7.305e-05     
538     0.867     0.411     3.887e-04     -7.484e-05     
539     0.878     0.456     3.915e-04     -8.302e-05     
540     0.202     0.034     1.460e-04     -3.094e-06     
541     0.066     0.338     2.996e-05     -8.106e-05     
542     0.064     0.311     2.932e-05     -7.684e-05     
543     0.119     0.072     1.096e-04     -1.276e-05     
544     0.107     0.068     1.085e-04     -1.489e-05     
545     0.713     0.285     3.305e-04     -5.354e-05     
546     0.913     0.422     4.076e-04     -7.585e-05     
547     0.899     0.379     4.040e-04     -6.816e-05     
548     0.307     0.236     1.537e-04     -4.303e-05     
549     0.234     0.039     1.539e-04     -4.221e-06     
550     0.251     0.043     1.588e-04     -4.918e-06     
551     0.261     0.062     1.594e-04     -7.696e-06     
552     0.271     0.046     1.645e-04     -5.728e-06     
553     0.280     0.066     1.656e-04     -8.716e-06     
554     0.292     0.050     1.712e-04     -6.591e-06     
555     0.302     0.070     1.730e-04     -9.759e-06     
556     0.316     0.053     1.795e-04     -7.512e-06     
557     0.325     0.077     1.809e-04     -1.132e-05     
558     0.342     0.058     1.885e-04     -8.647e-06     
559     0.072     0.126     5.335e-05     -4.006e-05     
560     0.083     0.130     5.842e-05     -3.784e-05     
561     0.145     0.020     1.382e-04     -1.718e-06     
562     0.154     0.023     1.388e-04     -1.775e-06     
563     0.158     0.032     1.372e-04     -2.623e-06     
564     0.163     0.025     1.398e-04     -1.875e-06     
565     0.511     0.897     2.279e-04     -1.698e-04     
566     0.125     0.166     7.213e-05     -3.817e-05     
567     0.327     0.036     1.845e-04     -5.165e-06     
568     0.340     0.247     1.682e-04     -4.512e-05     
569     0.688     0.833     3.075e-04     -1.529e-04     
570     0.217     0.080     1.413e-04     -9.615e-06     
571     0.902     0.550     3.982e-04     -1.007e-04     
572     0.072     0.138     4.829e-05     -4.327e-05     
573     0.838     0.104     3.982e-04     -2.123e-05     
574     0.882     0.120     4.163e-04     -2.353e-05     
575     0.627     0.886     2.809e-04     -1.644e-04     
576     0.061     0.121     4.893e-05     -4.228e-05     
577     0.059     0.111     5.343e-05     -4.061e-05     
578     0.895     0.167     4.171e-04     -3.097e-05     
579     0.117     0.024     1.345e-04     -4.361e-06     
580     0.195     0.102     1.269e-04     -1.390e-05     
581     0.184     0.113     1.187e-04     -1.675e-05     
582     0.201     0.120     1.240e-04     -1.807e-05     
583     0.438     0.330     2.069e-04     -6.189e-05     
584     0.474     0.069     2.402e-04     -1.180e-05     
585     0.030     0.224     1.450e-05     -6.677e-05     
586     0.065     0.102     6.352e-05     -3.676e-05     
587     0.436     0.919     1.934e-04     -1.764e-04     
588     0.029     0.208     1.423e-05     -6.487e-05     
589     0.042     0.197     2.086e-05     -6.196e-05     
590     0.025     0.193     1.277e-05     -6.353e-05     
591     0.286     0.455     1.303e-04     -9.169e-05     
592     0.126     0.092     1.007e-04     -1.645e-05     
593     0.021     0.134     1.493e-05     -5.649e-05     
594     0.022     0.144     1.434e-05     -5.794e-05     
595     0.019     0.124     1.608e-05     -5.464e-05     
596     0.027     0.118     2.538e-05     -5.086e-05     
597     0.020     0.155     1.172e-05     -5.994e-05     
598     0.908     0.860     4.057e-04     -1.615e-04     
599     0.899     0.810     3.984e-04     -1.517e-04     
600     0.934     0.770     4.114e-04     -1.459e-04     
601     0.180     0.274     8.719e-05     -5.880e-05     
602     0.725     0.162     3.438e-04     -3.136e-05     
603     0.714     0.120     3.416e-04     -2.342e-05     
604     0.748     0.078     3.589e-04     -1.558e-05     
605     0.185     0.130     1.142e-04     -2.093e-05     
606     0.056     0.095     6.415e-05     -3.875e-05     
607     0.089     0.064     1.069e-04     -2.168e-05     
608     0.139     0.179     7.707e-05     -3.965e-05     
609     0.144     0.199     7.633e-05     -4.421e-05     
610     0.058     0.201     2.906e-05     -5.998e-05     
611     0.235     0.088     1.460e-04     -1.136e-05     
612     0.099     0.045     1.222e-04     -1.455e-05     
613     0.106     0.024     1.333e-04     -6.999e-06     
614     0.036     0.102     4.373e-05     -4.491e-05     
615     0.043     0.108     4.476e-05     -4.465e-05     
616     0.082     0.165     4.712e-05     -4.734e-05     
617     0.111     0.716     4.930e-05     -1.465e-04     
618     0.073     0.746     3.250e-05     -1.526e-04     
619     0.085     0.296     3.944e-05     -7.277e-05     
620     0.064     0.286     2.940e-05     -7.294e-05     
621     0.040     0.296     1.797e-05     -7.609e-05     
622     0.047     0.273     2.163e-05     -7.215e-05     
623     0.147     0.686     6.534e-05     -1.403e-04     
624     0.124     0.015     1.373e-04     -2.213e-06     
625     0.030     0.462     1.354e-05     -1.026e-04     
626     0.063     0.478     2.784e-05     -1.048e-04     
627     0.058     0.441     2.609e-05     -9.849e-05     
628     0.878     0.071     4.201e-04     -1.520e-05     
629     0.187     0.032     1.430e-04     -2.683e-06     
630     0.909     0.597     4.002e-04     -1.101e-04     
631     0.868     0.628     3.820e-04     -1.161e-04     
632     0.948     0.525     4.189e-04     -9.527e-05     
633     0.015     0.107     2.209e-05     -4.949e-05     
634     0.351     0.085     1.898e-04     -1.310e-05     
635     0.370     0.063     1.990e-04     -9.742e-06     
636     0.122     0.042     1.278e-04     -6.452e-06     
637     0.113     0.038     1.280e-04     -7.889e-06     
638     0.169     0.054     1.332e-04     -5.152e-06     
639     0.034     0.542     1.510e-05     -1.162e-04     
640     0.268     0.530     1.205e-04     -1.073e-04     
641     0.237     0.556     1.062e-04     -1.133e-04     
642     0.115     0.008     1.377e-04     -1.791e-06     
643     0.395     0.947     1.747e-04     -1.832e-04     
644     0.037     0.632     1.641e-05     -1.321e-04     
645     0.105     0.055     1.171e-04     -1.317e-05     
646     0.311     0.542     1.402e-04     -1.080e-04     
647     0.352     0.557     1.584e-04     -1.096e-04     
648     0.795     0.081     3.801e-04     -1.663e-05     
649     0.176     0.009     1.438e-04     -6.664e-07     
650     0.010     0.175     5.476e-06     -6.302e-05     
651     0.544     0.039     2.699e-04     -6.977e-06     
652     0.565     0.074     2.781e-04     -1.348e-05     
653     0.609     0.077     2.970e-04     -1.432e-05     
654     0.585     0.110     2.852e-04     -2.022e-05     
655     0.519     0.078     2.585e-04     -1.388e-05     
656     0.528     0.311     2.484e-04     -5.788e-05     
657     0.537     0.351     2.501e-04     -6.568e-05     
658     0.500     0.343     2.339e-04     -6.403e-05     
659     0.082     0.073     9.664e-05     -2.605e-05     
660     0.096     0.074     1.001e-04     -1.996e-05     
661     0.948     0.392     4.242e-04     -6.897e-05     
662     0.044     0.184     2.304e-05     -5.961e-05     
663     0.888     0.762     3.916e-04     -1.421e-04     
664     0.924     0.728     4.063e-04     -1.368e-04     
665     0.876     0.718     3.854e-04     -1.333e-04     
666     0.954     0.626     4.192e-04     -1.161e-04     
667     0.133     0.227     6.711e-05     -5.296e-05     
668     0.158     0.231     7.951e-05     -5.075e-05     
669     0.380     0.208     1.901e-04     -3.665e-05     
670     0.013     0.201     6.601e-06     -6.539e-05     
671     0.362     0.598     1.626e-04     -1.173e-04     
672     0.395     0.570     1.778e-04     -1.108e-04     
673     0.405     0.612     1.819e-04     -1.187e-04     
674     0.431     0.542     1.946e-04     -1.044e-04     
675     0.028     0.426     1.248e-05     -9.666e-05     
676     0.033     0.242     1.532e-05     -6.895e-05     
677     0.437     0.065     2.252e-04     -1.075e-05     
678     0.394     0.286     1.896e-04     -5.293e-05     
679     0.460     0.033     2.354e-04     -5.570e-06     
680     0.402     0.056     2.116e-04     -8.999e-06     
681     0.255     0.643     1.138e-04     -1.293e-04     
682     0.903     0.499     4.003e-04     -9.087e-05     
683     0.150     0.272     7.229e-05     -6.120e-05     
684     0.023     0.365     1.037e-05     -8.689e-05     
685     0.049     0.378     2.178e-05     -8.836e-05     
686     0.053     0.408     2.378e-05     -9.310e-05     
687     0.086     0.416     3.865e-05     -9.336e-05     
688     0.828     0.704     3.652e-04     -1.297e-04     
689     0.817     0.656     3.602e-04     -1.209e-04     
690     0.772     0.642     3.412e-04     -1.182e-04     
691     0.019     0.312     8.734e-06     -7.909e-05     
692     0.520     0.949     2.315e-04     -1.797e-04     
693     0.036     0.121     3.074e-05     -4.978e-05     
694     0.314     0.017     1.806e-04     -2.275e-06     
695     0.395     0.025     2.098e-04     -3.965e-06     
696     0.016     0.269     7.294e-06     -7.319e-05     
697     0.269     0.015     1.663e-04     -1.807e-06     
698     0.508     0.223     2.455e-04     -4.072e-05     
699     0.538     0.198     2.601e-04     -3.615e-05     
700     0.015     0.233     7.088e-06     -6.878e-05     
701     0.233     0.013     1.559e-04     -1.297e-06     
702     0.202     0.011     1.486e-04     -9.374e-07     
703     0.739     0.583     3.280e-04     -1.075e-04     
704     0.697     0.564     3.107e-04     -1.044e-04     
705     0.688     0.521     3.079e-04     -9.669e-05     
706     0.720     0.491     3.228e-04     -9.100e-05     
707     0.677     0.477     3.049e-04     -8.868e-05     
708     0.646     0.504     2.903e-04     -9.383e-05     
709     0.125     0.957     5.445e-05     -1.914e-04     
710     0.100     0.914     4.387e-05     -1.836e-04     
711     0.046     0.919     2.027e-05     -1.852e-04     
712     0.075     0.873     3.290e-05     -1.763e-04     
713     0.128     0.864     5.651e-05     -1.739e-04     
714     0.095     0.825     4.204e-05     -1.671e-04     
715     0.177     0.877     7.808e-05     -1.756e-04     
716     0.212     0.844     9.372e-05     -1.684e-04     
717     0.223     0.891     9.814e-05     -1.772e-04     
718     0.957     0.120     4.479e-04     -2.039e-05     
719     0.010     0.164     5.552e-06     -6.196e-05     
720     0.164     0.008     1.422e-04     -5.675e-07     
721     0.627     0.960     2.814e-04     -1.789e-04     
722     0.023     0.180     1.180e-05     -6.239e-05     
723     0.276     0.958     1.210e-04     -1.886e-04     
724     0.308     0.919     1.359e-04     -1.803e-04     
725     0.224     0.949     9.812e-05     -1.881e-04     
726     0.958     0.275     4.349e-04     -4.662e-05     
727     0.920     0.305     4.170e-04     -5.375e-05     
728     0.954     0.228     4.367e-04     -3.831e-05     
729     0.956     0.875     4.278e-04     -1.697e-04     
730     0.668     0.432     3.030e-04     -8.055e-05     
731     0.254     0.859     1.125e-04     -1.703e-04     
732     0.725     0.959     3.284e-04     -1.769e-04     
733     0.775     0.957     3.529e-04     -1.759e-04     
734     0.874     0.947     4.021e-04     -1.753e-04     
735     0.746     0.252     3.471e-04     -4.762e-05     
736     0.737     0.677     3.264e-04     -1.244e-04     
737     0.681     0.316     3.147e-04     -5.921e-05     
738     0.032     0.149     1.973e-05     -5.662e-05     
739     0.511     0.728     2.281e-04     -1.377e-04     
740     0.722     0.801     3.218e-04     -1.467e-04     
741     0.232     0.380     1.075e-04     -7.857e-05     
742     0.267     0.390     1.237e-04     -7.891e-05     
743     0.063     0.149     3.965e-05     -4.834e-05     
744     0.421     0.462     1.925e-04     -8.881e-05     
745     0.567     0.789     2.531e-04     -1.475e-04     
746     0.473     0.556     2.129e-04     -1.061e-04     
747     0.137     0.069     1.178e-04     -9.294e-06     
748     0.082     0.246     3.928e-05     -6.420e-05     
749     0.851     0.797     3.772e-04     -1.471e-04     
750     0.574     0.668     2.559e-04     -1.249e-04     
751     0.280     0.778     1.246e-04     -1.542e-04     
752     0.010     0.124     7.837e-06     -5.751e-05     
753     0.143     0.010     1.397e-04     -8.263e-07     
754     0.008     0.144     4.898e-06     -6.034e-05     
755     0.305     0.351     1.434e-04     -6.891e-05     
756     0.455     0.836     2.028e-04     -1.597e-04     
757     0.634     0.039     3.089e-04     -7.418e-06     
758     0.655     0.077     3.171e-04     -1.472e-05     
759     0.557     0.911     2.488e-04     -1.712e-04     
760     0.160     0.118     1.056e-04     -1.948e-05     
761     0.846     0.488     3.764e-04     -8.941e-05     
762     0.692     0.665     3.072e-04     -1.225e-04     
763     0.077     0.152     4.710e-05     -4.536e-05     
764     0.859     0.199     3.991e-04     -3.731e-05     
765     0.150     0.450     6.755e-05     -9.675e-05     
766     0.342     0.884     1.515e-04     -1.725e-04     
767     0.639     0.305     2.972e-04     -5.698e-05     
768     0.389     0.120     2.024e-04     -1.969e-05     
769     0.386     0.318     1.838e-04     -5.992e-05     
770     0.361     0.271     1.760e-04     -5.017e-05     
771     0.509     0.381     2.356e-04     -7.162e-05     
772     0.209     0.256     1.034e-04     -5.209e-05     
773     0.778     0.385     3.522e-04     -7.124e-05     
774     0.725     0.634     3.215e-04     -1.168e-04     
775     0.349     0.717     1.555e-04     -1.404e-04     
776     0.382     0.528     1.729e-04     -1.030e-04     
777     0.584     0.554     2.623e-04     -1.038e-04     
778     0.468     0.714     2.089e-04     -1.363e-04     
779     0.565     0.472     2.564e-04     -8.866e-05     
780     0.342     0.401     1.585e-04     -7.835e-05     
781     0.636     0.460     2.878e-04     -8.577e-05     
782     0.459     0.474     2.091e-04     -9.053e-05     
783     0.532     0.654     2.377e-04     -1.232e-04     
784     0.327     0.105     1.786e-04     -1.615e-05     
785     0.627     0.418     2.859e-04     -7.798e-05     
786     0.162     0.042     1.354e-04     -3.669e-06     
787     0.828     0.611     3.653e-04     -1.126e-04     
788     0.628     0.263     2.954e-04     -4.926e-05     
789     0.790     0.913     3.575e-04     -1.668e-04     
790     0.909     0.650     3.994e-04     -1.206e-04     
791     0.680     0.786     3.031e-04     -1.444e-04     
792     0.278     0.227     1.408e-04     -4.179e-05     
793     0.270     0.196     1.413e-04     -3.467e-05     
794     0.243     0.191     1.289e-04     -3.416e-05     
795     0.247     0.169     1.347e-04     -2.859e-05     
796     0.269     0.307     1.290e-04     -6.060e-05     
797     0.199     0.542     8.902e-05     -1.120e-04     
798     0.276     0.102     1.589e-04     -1.471e-05     
799     0.465     0.171     2.303e-04     -3.026e-05     
800     0.358     0.761     1.594e-04     -1.487e-04     
801     0.135     0.018     1.376e-04     -1.892e-06     
802     0.465     0.882     2.071e-04     -1.683e-04     
803     0.117     0.434     5.249e-05     -9.533e-05     
804     0.101     0.579     4.488e-05     -1.218e-04     
805     0.304     0.388     1.411e-04     -7.701e-05     
806     0.810     0.353     3.679e-04     -6.526e-05     
807     0.041     0.323     1.863e-05     -8.000e-05     
808     0.528     0.161     2.582e-04     -2.902e-05     
809     0.217     0.037     1.495e-04     -3.607e-06     
810     0.907     0.211     4.182e-04     -3.788e-05     
811     0.294     0.179     1.547e-04     -3.038e-05     
812     0.425     0.501     1.927e-04     -9.660e-05     
813     0.093     0.122     6.817e-05     -3.259e-05     
814     0.149     0.914     6.530e-05     -1.831e-04     
815     0.215     0.627     9.602e-05     -1.276e-04     
816     0.323     0.792     1.438e-04     -1.556e-04     
817     0.925     0.957     4.298e-04     -1.812e-04     
818     0.062     0.267     2.899e-05     -6.991e-05     
819     0.222     0.348     1.037e-04     -7.230e-05     
820     0.921     0.043     4.446e-04     -9.952e-06     
821     0.855     0.367     3.859e-04     -6.695e-05     
822     0.736     0.207     3.458e-04     -3.958e-05     
823     0.151     0.040     1.336e-04     -3.668e-06     
824     0.350     0.195     1.781e-04     -3.396e-05     
825     0.145     0.379     6.594e-05     -8.358e-05     
826     0.207     0.583     9.247e-05     -1.196e-04     
827     0.035     0.112     3.564e-05     -4.750e-05     
828     0.120     0.134     7.874e-05     -2.961e-05     
829     0.201     0.075     1.370e-04     -8.608e-06     
830     0.166     0.091     1.184e-04     -1.232e-05     
831     0.107     0.202     5.531e-05     -5.117e-05     
832     0.126     0.080     1.074e-04     -1.346e-05     
833     0.179     0.195     9.569e-05     -3.899e-05     
834     0.249     0.449     1.136e-04     -9.190e-05     
835     0.141     0.346     6.470e-05     -7.747e-05     
836     0.250     0.077     1.533e-04     -9.834e-06     
837     0.175     0.029     1.411e-04     -2.291e-06     
838     0.071     0.791     3.137e-05     -1.610e-04     
839     0.289     0.825     1.283e-04     -1.628e-04     
840     0.162     0.207     8.505e-05     -4.415e-05     
841     0.256     0.359     1.199e-04     -7.272e-05     
842     0.108     0.142     6.863e-05     -3.486e-05     
843     0.543     0.699     2.423e-04     -1.313e-04     
844     0.868     0.675     3.818e-04     -1.250e-04     
845     0.680     0.162     3.243e-04     -3.092e-05     
846     0.109     0.079     1.015e-04     -1.673e-05     
847     0.670     0.275     3.125e-04     -5.163e-05     
848     0.381     0.088     2.014e-04     -1.408e-05     
849     0.127     0.207     6.598e-05     -4.881e-05     
850     0.084     0.141     5.483e-05     -4.064e-05     
851     0.915     0.910     4.153e-04     -1.712e-04     
852     0.733     0.037     3.533e-04     -7.393e-06     
853     0.181     0.657     8.075e-05     -1.341e-04     
854     0.915     0.257     4.181e-04     -4.548e-05     
855     0.162     0.252     7.991e-05     -5.545e-05     
856     0.436     0.363     2.039e-04     -6.863e-05     
857     0.780     0.038     3.753e-04     -7.767e-06     
858     0.919     0.094     4.358e-04     -1.845e-05     
859     0.297     0.874     1.314e-04     -1.719e-04     
860     0.187     0.704     8.294e-05     -1.428e-04     
861     0.555     0.744     2.475e-04     -1.394e-04     
862     0.064     0.519     2.859e-05     -1.119e-04     
863     0.886     0.336     4.008e-04     -6.047e-05     
864     0.703     0.242     3.291e-04     -4.586e-05     
865     0.671     0.119     3.223e-04     -2.276e-05     
866     0.117     0.400     5.284e-05     -8.921e-05     
867     0.181     0.020     1.438e-04     -1.513e-06     
868     0.194     0.022     1.462e-04     -1.753e-06     
869     0.098     0.088     9.113e-05     -2.185e-05     
870     0.299     0.206     1.537e-04     -3.650e-05     
871     0.557     0.135     2.721e-04     -2.457e-05     
872     0.297     0.485     1.348e-04     -9.731e-05     
873     0.044     0.350     1.958e-05     -8.413e-05     
874     0.501     0.185     2.448e-04     -3.322e-05     
875     0.604     0.487     2.731e-04     -9.097e-05     
876     0.090     0.456     4.022e-05     -1.001e-04     
877     0.627     0.113     3.036e-04     -2.127e-05     
878     0.600     0.921     2.687e-04     -1.719e-04     
879     0.597     0.758     2.663e-04     -1.410e-04     
880     0.095     0.135     6.386e-05     -3.572e-05     
881     0.052     0.104     5.378e-05     -4.141e-05     
882     0.050     0.116     4.447e-05     -4.448e-05     
883     0.259     0.915     1.140e-04     -1.808e-04     
884     0.609     0.802     2.720e-04     -1.489e-04     
885     0.268     0.081     1.592e-04     -1.094e-05     
886     0.170     0.107     1.142e-04     -1.597e-05     
887     0.329     0.215     1.662e-04     -3.830e-05     
888     0.958     0.434     4.266e-04     -7.669e-05     
889     0.123     0.150     7.543e-05     -3.372e-05     
890     0.276     0.337     1.303e-04     -6.716e-05     
891     0.352     0.928     1.557e-04     -1.806e-04     
892     0.876     0.292     3.992e-04     -5.289e-05     
893     0.018     0.116     1.832e-05     -5.233e-05     
894     0.189     0.918     8.303e-05     -1.830e-04     
895     0.616     0.530     2.768e-04     -9.883e-05     
896     0.098     0.063     1.097e-04     -1.715e-05     
897     0.124     0.006     1.385e-04     -9.249e-07     
898     0.070     0.365     3.162e-05     -8.532e-05     
899     0.032     0.261     1.468e-05     -7.147e-05     
900     0.706     0.924     3.185e-04     -1.699e-04     
901     0.481     0.247     2.320e-04     -4.500e-05     
902     0.093     0.496     4.142e-05     -1.071e-04     
903     0.965     0.730     4.239e-04     -1.385e-04     
904     0.074     0.649     3.287e-05     -1.348e-04     
905     0.112     0.031     1.315e-04     -6.799e-06     
906     0.033     0.876     1.441e-05     -1.771e-04     
907     0.209     0.023     1.492e-04     -2.066e-06     
908     0.433     0.963     1.915e-04     -1.850e-04     
909     0.207     0.090     1.347e-04     -1.147e-05     
910     0.837     0.917     3.804e-04     -1.682e-04     
911     0.035     0.778     1.538e-05     -1.589e-04     
912     0.878     0.032     4.231e-04     -7.078e-06     
913     0.015     0.148     9.280e-06     -5.983e-05     
914     0.280     0.419     1.286e-04     -8.439e-05     
915     0.067     0.561     2.992e-05     -1.193e-04     
916     0.650     0.816     2.904e-04     -1.505e-04     
917     0.289     0.086     1.664e-04     -1.206e-05     
918     0.482     0.279     2.303e-04     -5.140e-05     
919     0.071     0.605     3.145e-05     -1.269e-04     
920     0.140     0.158     8.252e-05     -3.341e-05     
921     0.704     0.076     3.389e-04     -1.487e-05     
922     0.036     0.723     1.616e-05     -1.487e-04     
923     0.656     0.546     2.937e-04     -1.014e-04     
924     0.225     0.025     1.530e-04     -2.454e-06     
925     0.107     0.044     1.241e-04     -1.072e-05     
926     0.600     0.144     2.901e-04     -2.675e-05     
927     0.007     0.107     1.410e-05     -5.171e-05     
928     0.921     0.458     4.098e-04     -8.248e-05     
929     0.106     0.007     1.370e-04     -2.154e-06     
930     0.919     0.136     4.306e-04     -2.494e-05     
931     0.660     0.863     2.956e-04     -1.592e-04     
932     0.071     0.389     3.174e-05     -8.944e-05     
933     0.357     0.504     1.621e-04     -9.899e-05     
934     0.015     0.140     9.997e-06     -5.877e-05     
935     0.480     0.920     2.134e-04     -1.753e-04     
936     0.930     0.349     4.186e-04     -6.148e-05     
937     0.037     0.964     1.603e-05     -1.934e-04     
938     0.054     0.127     4.086e-05     -4.607e-05     
939     0.033     0.184     1.730e-05     -6.138e-05     
940     0.074     0.696     3.273e-05     -1.434e-04     
941     0.260     0.028     1.626e-04     -3.289e-06     
942     0.963     0.963     4.522e-04     -1.893e-04     
943     0.159     0.016     1.407e-04     -1.156e-06     
944     0.242     0.027     1.576e-04     -2.907e-06     
945     0.132     0.813     5.839e-05     -1.643e-04     
946     0.467     0.339     2.193e-04     -6.351e-05     
947     0.965     0.035     4.689e-04     -8.397e-06     
948     0.907     0.691     3.984e-04     -1.289e-04     
949     0.280     0.031     1.688e-04     -3.886e-06     
950     0.547     0.103     2.694e-04     -1.863e-05     
951     0.356     0.222     1.779e-04     -3.960e-05     
952     0.658     0.916     2.957e-04     -1.693e-04     
953     0.302     0.034     1.761e-04     -4.489e-06     
954     0.147     0.216     7.580e-05     -4.836e-05     
955     0.666     0.585     2.969e-04     -1.085e-04     
956     0.042     0.116     3.816e-05     -4.694e-05     
957     0.170     0.018     1.420e-04     -1.301e-06     
958     0.173     0.122     1.107e-04     -1.961e-05     
959     0.495     0.308     2.338e-04     -5.718e-05     
960     0.364     0.967     1.602e-04     -1.879e-04     
961     0.339     0.018     1.893e-04     -2.532e-06     
962     0.379     0.042     2.032e-04     -6.423e-06     
963     0.710     0.600     3.154e-04     -1.108e-04     
964     0.282     0.367     1.318e-04     -7.333e-05     
965     0.309     0.089     1.733e-04     -1.296e-05     
966     0.229     0.173     1.254e-04     -3.012e-05     
967     0.293     0.514     1.325e-04     -1.031e-04     
968     0.064     0.130     4.629e-05     -4.368e-05     
969     0.151     0.016     1.397e-04     -1.191e-06     
970     0.354     0.040     1.940e-04     -5.891e-06     
971     0.972     0.775     4.283e-04     -1.489e-04     
972     0.014     0.130     1.079e-05     -5.745e-05     
973     0.114     0.016     1.362e-04     -3.536e-06     
974     0.968     0.363     4.339e-04     -6.249e-05     
975     0.251     0.151     1.398e-04     -2.447e-05     
976     0.047     0.174     2.556e-05     -5.746e-05     
977     0.753     0.613     3.338e-04     -1.129e-04     
978     0.183     0.146     1.087e-04     -2.525e-05     
979     0.030     0.278     1.361e-05     -7.392e-05     
980     0.749     0.931     3.392e-04     -1.707e-04     
981     0.222     0.094     1.397e-04     -1.228e-05     
982     0.125     0.180     6.918e-05     -4.212e-05     
983     0.167     0.034     1.385e-04     -2.742e-06     
984     0.258     0.180     1.378e-04     -3.119e-05     
985     0.050     0.192     2.581e-05     -5.967e-05     
986     0.413     0.315     1.964e-04     -5.902e-05     
987     0.339     0.528     1.533e-04     -1.043e-04     
988     0.338     0.277     1.644e-04     -5.174e-05     
989     0.129     0.072     1.132e-04     -1.105e-05     
990     0.068     0.254     3.217e-05     -6.722e-05     
991     0.131     0.192     7.057e-05     -4.420e-05     
992     0.117     0.083     1.024e-04     -1.569e-05     


